104 6 10
NTop NFop NCop DDL Nite Nthr 0.01 0.02 0.05 0.07 0.1 0.2 0.25 0.5 0.005 0.0025
19534806 5123200 160203 2 800 3 0.957727 0.951145 1.12809 1.39971 1.12547 1.1421 1.40817 1.39426 0.952551 0.945597 
19534806 5123200 160203 2 800 4 0.746787 0.742584 0.844962 1.40689 0.84696 1.1273 1.20565 1.40267 0.756015 0.76232 
19534806 5123200 160203 2 800 5 0.589943 0.602108 0.589408 1.59002 0.588825 1.15566 1.01232 1.57669 0.59032 0.588736 
19534806 5123200 160203 2 800 6 0.521496 0.584472 0.588655 1.45807 0.592324 1.05311 0.800272 1.45041 0.522118 0.523436 
19534806 5123200 160203 2 800 7 0.457704 0.458406 0.614337 1.48098 0.609328 0.902239 0.981548 1.62347 0.464075 0.458641 
19534806 5123200 160203 2 800 8 0.431754 0.456366 0.610851 1.93885 0.613158 0.845291 0.922394 1.4932 0.404677 0.406404 
19534806 5123200 160203 2 800 9 0.368878 0.45482 0.610512 1.66544 0.611007 0.660086 0.979266 1.50292 0.365594 0.362574 
19534806 5123200 160203 2 800 10 0.324365 0.329639 0.604909 1.52253 0.607459 0.792397 1.15809 1.49772 0.310606 0.313655 
19534806 5123200 160203 2 800 11 0.305645 0.309427 0.609977 1.50124 0.609103 0.88056 0.754402 1.49189 0.304533 0.302151 
19534806 5123200 160203 2 800 12 0.280698 0.308228 0.577142 1.49072 0.576506 0.776969 0.966812 1.52226 0.277784 0.276021 
19534806 5123200 160203 2 800 13 0.249154 0.305304 0.606434 1.51281 0.609942 1.08165 0.827738 1.51135 0.248858 0.24331 
19534806 5123200 160203 2 800 14 0.24134 0.305295 0.57234 1.49026 0.578237 0.742198 1.04973 1.47983 0.243201 0.249738 
