278 6 5
NTop NFop NCop DDL Nite Nthr 0.5 0.125 0.03125 0.0078125 0.001923125
420011 160004 20002 1 20000 6 1.04004 0.527776 0.355732 0.357719 0.35563 
90204 20000 20102 2 5000 10 0.53605 0.252912 0.133844 0.119328 0.116621 
420011 160004 20002 1 20000 8 1.07444 0.55977 0.278887 0.279272 0.278211 
105011 40004 5002 1 5000 14 0.0677446 0.0292055 0.0132143 0.0110474 0.0108902 
8 8 0 0 1000 12 0.000149334 9.53983e-05 0.0002642 0.000281821 0.000301506 
90204 20000 20102 2 10000 6 1.04485 0.525391 0.35311 0.352605 0.352403 
90204 20000 20102 2 1000 12 0.103545 0.0505317 0.0208542 0.0203587 0.0205916 
2 2 0 0 100000 8 0.00302095 0.00153005 0.000924757 0.000892534 0.000877757 
7634256 2002000 62628 2 500 4 0.385191 0.187739 0.180121 0.180139 0.181934 
60002 20000 10001 1 10000 4 0.408512 0.207956 0.206536 0.206681 0.206843 
2 2 0 0 1000000 14 0.0307821 0.0134924 0.00571726 0.00505132 0.0048933 
2 2 0 0 100 4 6.03185e-05 0.000152147 0.000166473 0.000160641 0.000159875 
190671256 50010000 1563128 2 2500 14 43.7874 13.8801 8.80753 7.43559 7.43333 
802 300 101 1 10000 14 0.248681 0.118056 0.0466199 0.0382985 0.0386089 
105011 40004 5002 1 5000 12 0.0737988 0.0328706 0.0132895 0.0126434 0.0121194 
7634256 2002000 62628 2 500 16 0.3767 0.181648 0.0632078 0.0493509 0.0503603 
602 200 101 1 100 8 0.000143568 0.000139033 0.000191183 0.000171448 0.000167963 
2111 804 102 1 100 12 0.000119992 9.18819e-05 0.000236455 0.000215199 0.000203173 
8 8 0 0 10000 4 0.000690714 0.000347871 0.00038988 0.000383956 0.000364177 
122037006 32008000 1000503 2 2000 10 22.8647 10.1027 5.82173 5.01034 4.98439 
210011 80004 10002 1 10000 10 0.269751 0.120575 0.0674971 0.0574463 0.0568183 
90204 20000 20102 2 50000 6 5.17657 2.62847 1.76687 1.76262 1.76281 
802 300 101 1 10000 6 0.288996 0.120704 0.0806032 0.080574 0.082627 
802 300 101 1 10000 2 0.224826 0.224798 0.224928 0.224903 0.224732 
21011 8004 1002 1 1000 14 0.00267722 0.00137996 0.000597011 0.000586943 0.000583994 
2111 804 102 1 100 6 0.000110252 0.00016541 0.000198592 0.000179325 0.000174693 
21011 8004 1002 1 1000 8 0.0031062 0.00145973 0.000807528 0.000824062 0.000805754 
8 8 0 0 1000 14 0.000144149 0.000105245 0.000255396 0.000341896 0.000270559 
2 2 0 0 100000 10 0.00395381 0.00177859 0.00114688 0.00105477 0.00101956 
90204 20000 20102 2 100000 2 10.0242 10.0103 10.0016 10.0067 9.99895 
602 200 101 1 100 6 0.000139706 0.000151545 0.000202779 0.000180776 0.000180914 
90204 20000 20102 2 5000 6 0.511629 0.257349 0.173771 0.174243 0.173944 
2 2 0 0 1000 6 6.51088e-05 7.37157e-05 0.000112198 0.000108583 0.000106215 
802 300 101 1 10000 8 0.25 0.118958 0.0643384 0.0629169 0.0660317 
80080406 8000000 8040203 3 200 14 11.0187 4.46917 1.70949 1.53558 1.53413 
90204 20000 20102 2 100000 16 12.1659 5.45312 1.85781 1.62942 1.66301 
105011 40004 5002 1 5000 8 0.0677048 0.0331226 0.0177509 0.0177935 0.0178114 
2 2 0 0 10000 4 0.000416577 0.000285007 0.000323768 0.000304499 0.000305693 
802 300 101 1 100000 2 2.25208 2.25045 2.25052 2.25354 2.25172 
90204 20000 20102 2 10000 14 1.18313 0.468823 0.220348 0.190753 0.177868 
2 2 0 0 1000000 6 0.0285901 0.0143971 0.00990583 0.0098985 0.0096737 
90204 20000 20102 2 10000 10 1.11107 0.516453 0.27265 0.233984 0.246267 
602 200 101 1 100 14 0.000143375 0.000102537 0.000273832 0.000235748 0.000259993 
2 2 0 0 1000000 10 0.0298491 0.014261 0.00731601 0.00626392 0.00652633 
802 300 101 1 100000 8 2.43723 1.24372 0.627151 0.642656 0.642579 
90204 20000 20102 2 1000 8 0.0974963 0.0468717 0.0254297 0.0252959 0.02525 
306856 80400 2528 2 100 14 0.00409274 0.00168457 0.000667322 0.000695282 0.000693832 
10511 4004 502 1 500 10 0.00085721 0.000411683 0.000337708 0.000341941 0.00032262 
6002 2000 1001 1 1000 2 0.00409257 0.004033 0.00398719 0.00399891 0.00395892 
802 300 101 1 10000 16 0.250755 0.10665 0.0381446 0.0335852 0.034392 
7634256 2002000 62628 2 500 8 0.416728 0.18861 0.0970263 0.0978728 0.0977804 
6002 2000 1001 1 1000 8 0.00439589 0.00217028 0.00127472 0.00125077 0.00129015 
2 2 0 0 100000 4 0.00360218 0.00166465 0.00162485 0.0015291 0.00149068 
68652756 18006000 562878 2 1500 10 10.5861 4.26967 2.44217 2.15502 2.16786 
190671256 50010000 1563128 2 2500 8 44.3618 22.9091 12.1824 12.2625 12.2363 
8 8 0 0 1000 16 0.000127731 0.000100806 0.000237768 0.000340216 0.000292109 
802 300 101 1 100 16 0.00401426 0.00138346 0.000724899 0.00070961 0.00069544 
90204 20000 20102 2 50000 4 5.08562 2.56652 2.56231 2.62542 2.5664 
90204 20000 20102 2 10000 4 1.01668 0.511471 0.511832 0.512362 0.510593 
2 2 0 0 100 10 8.01619e-05 9.63135e-05 0.000250798 0.000243778 0.000216881 
190671256 50010000 1563128 2 2500 12 43.9369 15.0887 8.9143 8.33867 8.37243 
0 0 0 0 10000000 14 0.246536 0.121803 0.0454904 0.0397344 0.0387663 
10511 4004 502 1 500 12 0.000878702 0.000436119 0.000294718 0.000310811 0.000336736 
6002 2000 1001 1 1000 12 0.00551305 0.00256129 0.00112385 0.00109575 0.00103831 
0 0 0 0 10000000 6 0.241263 0.121774 0.084245 0.0848487 0.0849429 
306856 80400 2528 2 100 12 0.00390651 0.00156144 0.000859989 0.000878795 0.000847942 
60002 20000 10001 1 10000 8 0.446982 0.209186 0.112999 0.112411 0.11304 
